赛事,日期,主队,比分,客队
NBA,2026-05-09,克利夫兰骑士,116-109,底特律活塞
NBA,2026-05-07,底特律活塞,107-97,克利夫兰骑士
NBA,2026-05-05,底特律活塞,111-101,克利夫兰骑士
NBA,2026-05-03,底特律活塞,116-94,奥兰多魔术
NBA,2026-05-01,奥兰多魔术,79-93,底特律活塞
NBA,2026-04-29,底特律活塞,116-109,奥兰多魔术
NBA,2026-04-23,奥兰多魔术,94-88,底特律活塞
NBA,2026-04-25,奥兰多魔术,113-105,底特律活塞
NBA,2026-04-22,底特律活塞,98-83,奥兰多魔术
NBA,2026-04-19,底特律活塞,101-112,奥兰多魔术
NBA,2026-04-12,印第安纳步行者,121-133,底特律活塞
NBA,2026-04-10,夏洛特黄蜂,100-118,底特律活塞
NBA,2026-04-08,底特律活塞,137-111,密尔沃基雄鹿
NBA,2026-04-06,奥兰多魔术,123-107,底特律活塞
NBA,2026-04-04,费城76人,93-116,底特律活塞
NBA,2026-04-02,底特律活塞,113-108,明尼苏达森林狼
NBA,2026-04-01,底特律活塞,127-116,多伦多猛龙
NBA,2026-03-31,俄克拉荷马雷霆,114-110,底特律活塞
NBA,2026-03-29,明尼苏达森林狼,87-109,底特律活塞
NBA,2026-03-26,底特律活塞,129-108,新奥尔良鹈鹕
NBA,2026-03-19,华盛顿奇才,95-117,底特律活塞
NBA,2026-03-17,华盛顿奇才,117-130,底特律活塞
NBA,2026-03-15,多伦多猛龙,119-108,底特律活塞
NBA,2026-03-10,布鲁克林篮网,100-138,底特律活塞
NBA,2026-03-08,迈阿密热火,121-110,底特律活塞
NBA,2026-03-06,圣安东尼奥马刺,121-106,底特律活塞
NBA,2026-03-04,克利夫兰骑士,113-109,底特律活塞
NBA,2026-03-01,奥兰多魔术,92-106,底特律活塞
NBA,2026-02-22,芝加哥公牛,110-126,底特律活塞
NBA,2026-02-20,纽约尼克斯,111-126,底特律活塞
