赛事,日期,主队,比分,客队
NBA,2026-05-09,克利夫兰骑士,116-109,底特律活塞
NBA,2026-05-07,底特律活塞,107-97,克利夫兰骑士
NBA,2026-05-05,底特律活塞,111-101,克利夫兰骑士
NBA,2026-05-03,克利夫兰骑士,114-102,多伦多猛龙
NBA,2026-05-01,多伦多猛龙,112-110,克利夫兰骑士
NBA,2026-04-29,克利夫兰骑士,125-120,多伦多猛龙
NBA,2026-04-26,多伦多猛龙,93-89,克利夫兰骑士
NBA,2026-04-24,多伦多猛龙,126-104,克利夫兰骑士
NBA,2026-04-21,克利夫兰骑士,115-105,多伦多猛龙
NBA,2026-04-18,克利夫兰骑士,126-113,多伦多猛龙
NBA,2026-04-12,克利夫兰骑士,130-117,华盛顿奇才
NBA,2026-04-10,亚特兰大老鹰,124-102,克利夫兰骑士
NBA,2026-04-08,克利夫兰骑士,122-116,亚特兰大老鹰
NBA,2026-04-07,孟菲斯灰熊,126-142,克利夫兰骑士
NBA,2026-04-05,克利夫兰骑士,117-108,印第安纳步行者
NBA,2026-04-03,金州勇士,111-118,克利夫兰骑士
NBA,2026-04-01,洛杉矶湖人,127-113,克利夫兰骑士
NBA,2026-03-31,犹他爵士,113-122,克利夫兰骑士
NBA,2026-03-27,克利夫兰骑士,149-128,迈阿密热火
NBA,2026-03-25,克利夫兰骑士,103-120,迈阿密热火
NBA,2026-03-15,克利夫兰骑士,120-130,达拉斯独行侠
NBA,2026-03-09,克利夫兰骑士,115-101,费城76人
NBA,2026-03-08,克利夫兰骑士,98-109,波士顿凯尔特人
NBA,2026-03-04,克利夫兰骑士,113-109,底特律活塞
NBA,2026-02-25,克利夫兰骑士,109-94,纽约尼克斯
NBA,2026-02-20,克利夫兰骑士,112-84,布鲁克林篮网
NBA,2026-02-12,克利夫兰骑士,138-113,华盛顿奇才
NBA,2026-01-29,克利夫兰骑士,129-99,洛杉矶湖人
NBA,2026-01-27,克利夫兰骑士,114-98,奥兰多魔术
